image_name;tags
train_dehazed_61;clear primary
train_dehazed_62;clear primary water
train_dehazed_63;agriculture clear primary road
train_dehazed_64;agriculture clear primary
train_dehazed_65;clear primary
train_dehazed_66;agriculture clear primary road
train_dehazed_67;clear habitation primary road
train_dehazed_68;cloudy
train_dehazed_69;clear primary
train_dehazed_70;blooming clear primary
train_dehazed_71;clear primary water
train_dehazed_72;cloudy
train_dehazed_73;clear primary
train_dehazed_74;agriculture partly_cloudy primary road
train_dehazed_75;agriculture clear primary road water
train_dehazed_76;partly_cloudy primary
train_dehazed_77;cloudy
train_dehazed_78;clear primary
train_dehazed_79;clear cultivation primary
train_dehazed_80;agriculture partly_cloudy primary road
train_dehazed_81;clear primary
train_dehazed_82;blooming clear cultivation habitation primary slash_burn
train_dehazed_83;clear primary
train_dehazed_84;agriculture clear habitation primary road
train_dehazed_85;clear primary water
train_dehazed_86;clear primary
train_dehazed_87;cloudy
train_dehazed_88;partly_cloudy primary
train_dehazed_89;clear primary
train_dehazed_90;agriculture partly_cloudy primary road
train_dehazed_91;partly_cloudy primary
train_dehazed_92;agriculture clear habitation primary road
train_dehazed_93;clear primary
train_dehazed_94;agriculture clear habitation primary road
train_dehazed_95;clear primary
train_dehazed_96;clear primary
train_dehazed_97;cloudy
train_dehazed_98;clear primary
train_dehazed_99;partly_cloudy primary
train_dehazed_100;bare_ground clear water
train_dehazed_101;cloudy
train_dehazed_102;clear primary
train_dehazed_103;agriculture clear habitation primary road water
train_dehazed_104;haze primary
train_dehazed_105;clear primary
train_dehazed_106;clear primary
train_dehazed_107;partly_cloudy primary
train_dehazed_108;cloudy
train_dehazed_109;clear primary
train_dehazed_110;clear primary
train_dehazed_111;cloudy
train_dehazed_112;agriculture clear primary road
train_dehazed_113;agriculture clear primary
train_dehazed_114;clear primary water
train_dehazed_115;clear primary water
train_dehazed_116;agriculture clear primary road
train_dehazed_117;clear primary
train_dehazed_118;cloudy
train_dehazed_119;agriculture clear primary road water
train_dehazed_120;clear primary
train_dehazed_121;partly_cloudy primary water
train_dehazed_122;agriculture clear primary road
train_dehazed_123;agriculture bare_ground clear habitation primary road
train_dehazed_124;bare_ground clear primary
train_dehazed_125;agriculture clear primary
train_dehazed_126;agriculture clear primary road
train_dehazed_127;clear primary
train_dehazed_128;clear primary
train_dehazed_129;agriculture clear primary
train_dehazed_130;partly_cloudy primary
train_dehazed_131;agriculture clear primary road water
train_dehazed_132;haze primary
train_dehazed_133;haze primary
train_dehazed_134;clear primary
train_dehazed_135;clear primary water
train_dehazed_136;haze primary
train_dehazed_137;clear primary
train_dehazed_138;cloudy
train_dehazed_139;clear primary
train_dehazed_140;clear primary
train_dehazed_141;partly_cloudy primary water
train_dehazed_142;agriculture clear habitation primary road
train_dehazed_143;partly_cloudy primary water
train_dehazed_144;agriculture partly_cloudy primary selective_logging
train_dehazed_145;partly_cloudy primary
train_dehazed_146;clear cultivation primary
train_dehazed_147;clear primary
train_dehazed_148;agriculture clear cultivation primary water
train_dehazed_149;clear primary
train_dehazed_150;agriculture partly_cloudy primary
train_dehazed_151;agriculture clear cultivation primary selective_logging
train_dehazed_152;haze primary
train_dehazed_153;clear primary
train_dehazed_154;clear primary
train_dehazed_155;clear primary
train_dehazed_156;clear primary water
train_dehazed_157;agriculture partly_cloudy primary
train_dehazed_158;agriculture clear primary water
train_dehazed_159;agriculture clear primary road
train_dehazed_160;partly_cloudy primary
train_dehazed_161;partly_cloudy primary
train_dehazed_162;agriculture partly_cloudy primary
train_dehazed_163;clear primary
train_dehazed_164;clear primary
train_dehazed_165;clear primary water
train_dehazed_166;clear primary road selective_logging water
train_dehazed_167;agriculture habitation partly_cloudy primary road
train_dehazed_168;cloudy
train_dehazed_169;agriculture clear primary road
train_dehazed_170;clear primary water
train_dehazed_171;agriculture clear primary road
train_dehazed_172;agriculture clear primary road
train_dehazed_173;clear cultivation primary
train_dehazed_174;cloudy
train_dehazed_175;clear primary
train_dehazed_176;clear primary
train_dehazed_177;agriculture clear primary road water
train_dehazed_178;clear primary
train_dehazed_179;cloudy
train_dehazed_180;haze primary
train_dehazed_181;clear primary
train_dehazed_182;partly_cloudy primary
train_dehazed_183;clear primary
train_dehazed_184;partly_cloudy primary
train_dehazed_185;agriculture artisinal_mine clear cultivation habitation primary road water
train_dehazed_186;clear primary road water
train_dehazed_187;artisinal_mine clear primary road
train_dehazed_188;clear primary water
train_dehazed_189;clear primary road water
train_dehazed_190;clear primary
train_dehazed_191;partly_cloudy primary
train_dehazed_192;blow_down clear primary
train_dehazed_193;partly_cloudy primary
train_dehazed_194;partly_cloudy primary
train_dehazed_195;agriculture clear primary road
train_dehazed_196;haze primary
train_dehazed_197;agriculture clear primary road
train_dehazed_198;clear primary
train_dehazed_199;agriculture clear cultivation primary
train_dehazed_200;clear primary
train_dehazed_201;clear primary
train_dehazed_202;clear habitation road
train_dehazed_203;cloudy
train_dehazed_204;clear primary
train_dehazed_205;agriculture clear cultivation primary
train_dehazed_206;partly_cloudy primary
train_dehazed_207;bare_ground clear primary road
train_dehazed_208;clear primary
train_dehazed_209;agriculture clear primary road
train_dehazed_210;partly_cloudy primary
train_dehazed_211;clear habitation primary road
train_dehazed_212;partly_cloudy primary
train_dehazed_213;agriculture clear primary road water
train_dehazed_214;clear primary
train_dehazed_215;haze primary water
train_dehazed_216;agriculture clear primary road
train_dehazed_217;bare_ground clear primary
train_dehazed_218;agriculture clear cultivation habitation primary road
train_dehazed_219;clear primary
train_dehazed_220;partly_cloudy primary
train_dehazed_221;clear primary
train_dehazed_222;agriculture clear cultivation habitation primary road water
train_dehazed_223;clear primary
train_dehazed_224;agriculture clear primary
train_dehazed_225;agriculture clear cultivation habitation primary road
train_dehazed_226;cloudy
train_dehazed_227;agriculture clear cultivation primary
train_dehazed_228;agriculture haze primary road water
train_dehazed_229;agriculture clear cultivation primary
train_dehazed_230;agriculture bare_ground habitation partly_cloudy primary road
train_dehazed_231;partly_cloudy primary
train_dehazed_232;clear primary
train_dehazed_233;clear primary water
train_dehazed_234;cloudy
train_dehazed_235;clear primary
train_dehazed_236;clear primary
train_dehazed_237;artisinal_mine clear primary road water
train_dehazed_238;clear primary
train_dehazed_239;bare_ground clear primary water
train_dehazed_240;agriculture clear primary road
train_dehazed_241;agriculture haze primary road
train_dehazed_242;clear primary
train_dehazed_243;clear primary
train_dehazed_244;clear primary
train_dehazed_245;clear primary blooming
train_dehazed_246;clear primary
train_dehazed_247;agriculture clear cultivation habitation primary road selective_logging
train_dehazed_248;haze primary
train_dehazed_249;partly_cloudy primary
train_dehazed_250;clear primary
train_dehazed_251;clear primary
train_dehazed_252;clear habitation primary
train_dehazed_253;agriculture clear habitation primary road
train_dehazed_254;clear primary
train_dehazed_255;agriculture clear habitation primary road
train_dehazed_256;agriculture clear cultivation primary
train_dehazed_257;cloudy
train_dehazed_258;clear habitation primary road
train_dehazed_259;partly_cloudy primary
train_dehazed_260;clear primary road water
train_dehazed_261;agriculture clear primary
train_dehazed_262;clear cultivation primary
train_dehazed_263;agriculture clear primary
train_dehazed_264;clear primary
train_dehazed_265;partly_cloudy primary
train_dehazed_266;clear cultivation habitation primary
train_dehazed_267;partly_cloudy primary
train_dehazed_268;agriculture clear habitation primary road
train_dehazed_269;clear primary
train_dehazed_270;agriculture clear primary road
train_dehazed_271;clear primary
train_dehazed_272;agriculture clear primary road
train_dehazed_273;clear water
train_dehazed_274;artisinal_mine clear primary road water
train_dehazed_275;clear primary
train_dehazed_276;partly_cloudy primary
train_dehazed_277;clear primary
train_dehazed_278;clear primary
train_dehazed_279;clear cultivation primary
train_dehazed_280;partly_cloudy primary
train_dehazed_281;clear primary selective_logging
train_dehazed_282;partly_cloudy primary
train_dehazed_283;partly_cloudy primary water
train_dehazed_284;cloudy
train_dehazed_285;cloudy
train_dehazed_286;agriculture artisinal_mine clear primary water
train_dehazed_287;partly_cloudy primary
train_dehazed_288;clear primary water
train_dehazed_289;clear primary
train_dehazed_290;clear water
train_dehazed_291;agriculture clear primary road
train_dehazed_292;agriculture partly_cloudy primary
train_dehazed_293;clear primary water
train_dehazed_294;clear primary road
train_dehazed_295;clear primary water
train_dehazed_296;clear primary
train_dehazed_297;agriculture clear cultivation primary
train_dehazed_298;agriculture bare_ground clear cultivation habitation primary
train_dehazed_299;clear primary
train_dehazed_300;clear primary
train_dehazed_301;agriculture clear primary road water
train_dehazed_302;cloudy
train_dehazed_303;agriculture clear primary
train_dehazed_304;agriculture clear primary
train_dehazed_305;partly_cloudy primary
train_dehazed_306;partly_cloudy primary
train_dehazed_307;clear primary
train_dehazed_308;agriculture cultivation partly_cloudy primary road water
train_dehazed_309;agriculture clear primary water
train_dehazed_310;clear primary
train_dehazed_311;agriculture clear habitation primary road
train_dehazed_312;partly_cloudy primary
train_dehazed_313;clear primary water
train_dehazed_314;agriculture clear primary road
train_dehazed_315;agriculture haze primary road
train_dehazed_316;agriculture clear primary
train_dehazed_317;clear primary
train_dehazed_318;clear primary
train_dehazed_319;bare_ground clear road
train_dehazed_320;partly_cloudy primary
train_dehazed_321;clear primary water
train_dehazed_322;clear primary road water
train_dehazed_323;partly_cloudy primary
train_dehazed_324;agriculture clear primary water
train_dehazed_325;haze primary
train_dehazed_326;agriculture clear primary
train_dehazed_327;clear primary
train_dehazed_328;agriculture partly_cloudy primary road
train_dehazed_329;clear primary road water
train_dehazed_330;agriculture clear primary water
train_dehazed_331;partly_cloudy primary
train_dehazed_332;haze primary
train_dehazed_333;agriculture clear primary road
train_dehazed_334;partly_cloudy primary road water
train_dehazed_335;clear primary
train_dehazed_336;clear primary
train_dehazed_337;cloudy
train_dehazed_338;agriculture clear primary
train_dehazed_339;clear primary
train_dehazed_340;partly_cloudy road water
train_dehazed_341;haze primary
train_dehazed_342;agriculture partly_cloudy primary road
train_dehazed_343;cloudy
train_dehazed_344;clear primary
train_dehazed_345;agriculture clear primary
train_dehazed_346;clear primary
train_dehazed_347;partly_cloudy primary road water
train_dehazed_348;clear primary
train_dehazed_349;agriculture clear primary
train_dehazed_350;agriculture clear primary road
train_dehazed_351;agriculture haze primary road
train_dehazed_352;cloudy
train_dehazed_353;agriculture habitation partly_cloudy primary road
train_dehazed_354;clear primary
train_dehazed_355;clear primary
train_dehazed_356;clear primary
train_dehazed_357;clear primary
train_dehazed_358;agriculture clear cultivation primary
train_dehazed_359;agriculture partly_cloudy primary
train_dehazed_360;haze primary
train_dehazed_361;agriculture partly_cloudy primary road
train_dehazed_362;clear primary water
train_dehazed_363;haze primary water
train_dehazed_364;clear primary
train_dehazed_365;partly_cloudy primary
train_dehazed_366;clear primary water
train_dehazed_367;haze primary
train_dehazed_368;clear primary
train_dehazed_369;agriculture clear cultivation habitation primary
train_dehazed_370;agriculture clear habitation primary road
train_dehazed_371;clear primary
train_dehazed_372;clear primary
train_dehazed_373;clear primary
train_dehazed_374;agriculture clear primary
train_dehazed_375;clear primary
train_dehazed_376;clear primary
train_dehazed_377;partly_cloudy primary
train_dehazed_378;clear primary
train_dehazed_379;agriculture clear primary road
train_dehazed_380;clear primary
train_dehazed_381;agriculture clear cultivation habitation primary road
train_dehazed_382;clear primary
train_dehazed_383;clear primary
train_dehazed_384;partly_cloudy primary
train_dehazed_385;agriculture cultivation habitation partly_cloudy primary road
train_dehazed_386;clear primary road water
train_dehazed_387;clear primary
train_dehazed_388;agriculture haze primary
train_dehazed_389;agriculture clear primary road
train_dehazed_390;agriculture clear primary road
train_dehazed_391;agriculture clear primary road water
train_dehazed_392;agriculture clear primary
train_dehazed_393;agriculture clear primary road
train_dehazed_394;blooming clear primary
train_dehazed_395;partly_cloudy primary
train_dehazed_396;cloudy
train_dehazed_397;clear primary
train_dehazed_398;clear primary
train_dehazed_399;clear primary
train_dehazed_400;agriculture partly_cloudy primary water
train_dehazed_401;clear primary
train_dehazed_402;partly_cloudy primary selective_logging
train_dehazed_403;agriculture clear habitation primary
train_dehazed_404;clear primary
train_dehazed_405;agriculture clear primary road
train_dehazed_406;agriculture haze primary water
train_dehazed_407;clear primary
train_dehazed_408;blooming clear primary
train_dehazed_409;partly_cloudy primary
train_dehazed_410;clear primary
train_dehazed_411;agriculture clear primary road water
train_dehazed_412;clear water
train_dehazed_413;cloudy
train_dehazed_414;haze primary
train_dehazed_415;clear primary
train_dehazed_416;clear habitation primary road water
train_dehazed_417;haze primary
train_dehazed_418;bare_ground clear primary water
train_dehazed_419;agriculture clear habitation primary road
train_dehazed_420;bare_ground clear primary road
train_dehazed_421;agriculture clear primary water
train_dehazed_422;clear primary
train_dehazed_423;clear primary
train_dehazed_424;clear primary
train_dehazed_425;clear habitation road
train_dehazed_426;haze primary water
train_dehazed_427;clear primary
train_dehazed_428;clear primary
train_dehazed_429;clear primary
train_dehazed_430;agriculture blooming clear cultivation primary
train_dehazed_431;clear primary
train_dehazed_432;haze primary
train_dehazed_433;clear primary
train_dehazed_434;agriculture partly_cloudy primary
train_dehazed_435;bare_ground clear primary
train_dehazed_436;clear primary
train_dehazed_437;cloudy
train_dehazed_438;clear primary
train_dehazed_439;clear primary
train_dehazed_440;partly_cloudy primary
train_dehazed_441;agriculture partly_cloudy primary road water
train_dehazed_442;agriculture clear primary water
train_dehazed_443;clear primary
train_dehazed_444;clear primary road
train_dehazed_445;cultivation partly_cloudy primary water
train_dehazed_446;clear primary
train_dehazed_447;clear primary
train_dehazed_448;agriculture artisinal_mine clear primary road water
train_dehazed_449;clear primary
train_dehazed_450;clear primary water
train_dehazed_451;bare_ground clear primary
train_dehazed_452;partly_cloudy water
train_dehazed_453;cloudy
train_dehazed_454;haze primary water
train_dehazed_455;clear primary
train_dehazed_456;agriculture clear habitation primary road water
train_dehazed_457;clear primary
train_dehazed_458;haze primary
train_dehazed_459;clear primary
train_dehazed_460;haze primary
train_dehazed_461;agriculture habitation partly_cloudy primary
train_dehazed_462;clear primary
train_dehazed_463;clear primary road water
train_dehazed_464;agriculture clear primary
train_dehazed_465;clear cultivation primary
train_dehazed_466;clear primary
train_dehazed_467;agriculture clear cultivation primary
train_dehazed_468;clear primary
train_dehazed_469;clear primary
train_dehazed_470;clear primary
train_dehazed_471;agriculture bare_ground clear cultivation primary water
train_dehazed_472;clear primary water
train_dehazed_473;clear primary
train_dehazed_474;agriculture partly_cloudy primary water
train_dehazed_475;clear primary road
train_dehazed_476;cloudy
train_dehazed_477;agriculture clear cultivation habitation primary slash_burn
train_dehazed_478;clear primary
train_dehazed_479;clear primary
train_dehazed_480;clear primary
train_dehazed_481;partly_cloudy primary
train_dehazed_482;partly_cloudy primary
train_dehazed_483;clear primary
train_dehazed_484;clear primary
train_dehazed_485;clear primary
train_dehazed_486;bare_ground clear primary
train_dehazed_487;clear primary
train_dehazed_488;clear primary water
train_dehazed_489;clear primary water
train_dehazed_490;clear primary
train_dehazed_491;clear habitation primary road water
train_dehazed_492;partly_cloudy primary
train_dehazed_493;clear primary
train_dehazed_494;clear primary
train_dehazed_495;clear primary water
train_dehazed_496;clear primary
train_dehazed_497;clear primary
train_dehazed_498;agriculture clear habitation primary road water
train_dehazed_499;bare_ground clear primary
train_dehazed_500;partly_cloudy primary
train_dehazed_501;clear primary
train_dehazed_502;clear primary
train_dehazed_503;clear primary road water
train_dehazed_504;haze primary water
train_dehazed_505;partly_cloudy primary
train_dehazed_506;partly_cloudy primary
train_dehazed_507;agriculture partly_cloudy primary
train_dehazed_508;clear primary
train_dehazed_509;clear primary
train_dehazed_510;partly_cloudy primary
train_dehazed_511;clear primary water
train_dehazed_512;agriculture clear habitation primary road water
train_dehazed_513;clear cultivation habitation primary road
train_dehazed_514;clear primary
train_dehazed_515;clear primary
train_dehazed_516;agriculture clear primary road
train_dehazed_517;partly_cloudy primary water
train_dehazed_518;agriculture haze primary road water
train_dehazed_519;blooming clear primary
train_dehazed_520;agriculture cultivation partly_cloudy primary
train_dehazed_521;bare_ground blow_down clear primary slash_burn
train_dehazed_522;agriculture clear primary road
train_dehazed_523;agriculture habitation partly_cloudy primary road
train_dehazed_524;agriculture clear primary water
train_dehazed_525;agriculture clear primary road water
train_dehazed_526;partly_cloudy primary
train_dehazed_527;agriculture partly_cloudy primary
train_dehazed_528;clear primary
train_dehazed_529;blooming clear primary
train_dehazed_530;clear primary
train_dehazed_531;clear primary
train_dehazed_532;agriculture cultivation partly_cloudy primary road
train_dehazed_533;clear habitation road
train_dehazed_534;cloudy
train_dehazed_535;blow_down clear primary
train_dehazed_536;clear primary
train_dehazed_537;blooming clear primary
train_dehazed_538;clear primary
train_dehazed_539;agriculture habitation partly_cloudy primary road
train_dehazed_540;agriculture habitation partly_cloudy primary road
train_dehazed_541;agriculture cultivation partly_cloudy primary water
train_dehazed_542;partly_cloudy primary
train_dehazed_543;clear primary
train_dehazed_544;clear primary selective_logging
train_dehazed_545;clear primary
train_dehazed_546;agriculture clear primary road
train_dehazed_547;clear primary
train_dehazed_548;clear primary
train_dehazed_549;clear primary water
train_dehazed_550;partly_cloudy primary
train_dehazed_551;partly_cloudy primary
train_dehazed_552;agriculture clear primary
train_dehazed_553;agriculture partly_cloudy primary road
train_dehazed_554;haze primary
train_dehazed_555;clear primary
train_dehazed_556;clear primary water
train_dehazed_557;agriculture clear primary road
train_dehazed_558;clear primary
train_dehazed_559;agriculture clear cultivation habitation primary
train_dehazed_560;clear primary
train_dehazed_561;clear primary
train_dehazed_562;agriculture haze primary
train_dehazed_563;partly_cloudy primary
train_dehazed_564;clear primary
train_dehazed_565;agriculture clear primary road water
train_dehazed_566;blooming clear primary
train_dehazed_567;agriculture clear cultivation primary
train_dehazed_568;agriculture clear primary water
train_dehazed_569;cloudy
train_dehazed_570;bare_ground clear road
train_dehazed_571;partly_cloudy primary
train_dehazed_572;agriculture clear primary road water
train_dehazed_573;clear primary
train_dehazed_574;agriculture clear cultivation primary road water
train_dehazed_575;clear primary road
train_dehazed_576;partly_cloudy primary
train_dehazed_577;agriculture clear primary
train_dehazed_578;clear primary
train_dehazed_579;partly_cloudy primary
train_dehazed_580;clear primary
train_dehazed_581;haze primary water
train_dehazed_582;cloudy
train_dehazed_583;clear primary
train_dehazed_584;agriculture clear habitation primary road
train_dehazed_585;agriculture clear habitation primary road
train_dehazed_586;clear primary
train_dehazed_587;clear primary
train_dehazed_588;clear cultivation primary
train_dehazed_589;agriculture partly_cloudy primary
train_dehazed_590;agriculture clear primary
train_dehazed_591;clear primary
train_dehazed_592;clear primary
train_dehazed_593;clear primary
train_dehazed_594;clear primary
train_dehazed_595;clear primary water
train_dehazed_596;partly_cloudy primary
train_dehazed_597;agriculture blooming clear primary road water
train_dehazed_598;partly_cloudy primary water
train_dehazed_599;agriculture clear primary
train_dehazed_600;clear primary
train_dehazed_601;cloudy
train_dehazed_602;clear primary
train_dehazed_603;clear primary
train_dehazed_604;agriculture clear primary road
train_dehazed_605;clear primary water
train_dehazed_606;clear primary
train_dehazed_607;agriculture clear primary road
train_dehazed_608;agriculture partly_cloudy primary
train_dehazed_609;bare_ground clear primary
train_dehazed_610;agriculture clear primary road
train_dehazed_611;clear primary
train_dehazed_612;clear primary
train_dehazed_613;agriculture clear cultivation habitation primary road
train_dehazed_614;partly_cloudy primary water
train_dehazed_615;clear primary
train_dehazed_616;clear primary
train_dehazed_617;clear primary
train_dehazed_618;clear cultivation primary water
train_dehazed_619;agriculture clear primary water
train_dehazed_620;partly_cloudy primary
train_dehazed_621;clear primary
train_dehazed_622;clear primary
train_dehazed_623;agriculture clear primary water
train_dehazed_624;clear primary
train_dehazed_625;haze primary
train_dehazed_626;clear primary
train_dehazed_627;clear primary
train_dehazed_628;clear primary
train_dehazed_629;clear primary
train_dehazed_630;clear primary
train_dehazed_631;agriculture clear primary road
train_dehazed_632;agriculture clear primary road water
train_dehazed_633;agriculture clear habitation primary road
train_dehazed_634;agriculture clear primary
train_dehazed_635;clear primary
train_dehazed_636;clear primary
train_dehazed_637;clear primary
train_dehazed_638;clear primary
train_dehazed_639;clear primary
train_dehazed_640;clear primary
train_dehazed_641;clear primary
train_dehazed_642;clear primary water
train_dehazed_643;clear primary
train_dehazed_644;clear primary
train_dehazed_645;clear primary water
train_dehazed_646;cloudy
train_dehazed_647;partly_cloudy primary
train_dehazed_648;partly_cloudy primary
train_dehazed_649;agriculture clear cultivation primary
train_dehazed_650;cloudy
train_dehazed_651;agriculture clear habitation primary road water
train_dehazed_652;clear primary water
train_dehazed_653;agriculture clear cultivation primary road
train_dehazed_654;haze primary
train_dehazed_655;clear primary
train_dehazed_656;agriculture clear habitation primary road
train_dehazed_657;agriculture clear primary road
train_dehazed_658;clear primary
train_dehazed_659;blooming partly_cloudy primary
train_dehazed_660;clear primary
train_dehazed_661;agriculture haze primary
train_dehazed_662;clear primary
train_dehazed_663;clear primary
train_dehazed_664;clear primary
train_dehazed_665;agriculture clear cultivation primary road water
train_dehazed_666;agriculture clear cultivation primary
train_dehazed_667;clear primary
train_dehazed_668;clear primary
train_dehazed_669;agriculture clear cultivation habitation primary road
train_dehazed_670;agriculture clear cultivation primary road water
train_dehazed_671;clear primary
train_dehazed_672;agriculture partly_cloudy primary
train_dehazed_673;clear primary
train_dehazed_674;partly_cloudy primary
train_dehazed_675;agriculture partly_cloudy primary
train_dehazed_676;clear primary
train_dehazed_677;agriculture clear habitation primary road
train_dehazed_678;agriculture partly_cloudy primary road
train_dehazed_679;clear primary
train_dehazed_680;agriculture clear cultivation habitation primary road water
train_dehazed_681;clear primary
train_dehazed_682;clear primary
train_dehazed_683;agriculture clear primary road
train_dehazed_684;partly_cloudy primary
train_dehazed_685;clear primary
train_dehazed_686;clear primary
train_dehazed_687;clear primary
train_dehazed_688;agriculture haze primary road
train_dehazed_689;clear primary water
train_dehazed_690;agriculture haze primary road
train_dehazed_691;clear primary
train_dehazed_692;partly_cloudy primary
train_dehazed_693;agriculture clear water
train_dehazed_694;clear primary
train_dehazed_695;clear habitation primary road
train_dehazed_696;agriculture clear cultivation primary road selective_logging
train_dehazed_697;clear primary
train_dehazed_698;bare_ground clear primary
train_dehazed_699;agriculture clear habitation primary water
train_dehazed_700;clear primary water
train_dehazed_701;agriculture clear habitation primary water
train_dehazed_702;agriculture clear primary road
train_dehazed_703;blow_down clear primary
train_dehazed_704;haze primary
train_dehazed_705;clear primary
train_dehazed_706;partly_cloudy primary
train_dehazed_707;partly_cloudy primary
train_dehazed_708;clear primary water
train_dehazed_709;clear primary
train_dehazed_710;clear primary
train_dehazed_711;cultivation partly_cloudy primary
train_dehazed_712;blooming clear primary
train_dehazed_713;clear primary
train_dehazed_714;clear primary
train_dehazed_715;agriculture partly_cloudy primary road water
train_dehazed_716;agriculture partly_cloudy primary
train_dehazed_717;cloudy
train_dehazed_718;bare_ground clear primary water
train_dehazed_719;clear primary
train_dehazed_720;agriculture clear cultivation habitation primary
train_dehazed_721;agriculture partly_cloudy primary road
train_dehazed_722;agriculture clear primary road water
train_dehazed_723;clear primary
train_dehazed_724;clear primary
train_dehazed_725;agriculture habitation partly_cloudy primary
train_dehazed_726;agriculture partly_cloudy primary water
train_dehazed_727;clear primary
train_dehazed_728;agriculture clear cultivation habitation primary road slash_burn
train_dehazed_729;clear primary
train_dehazed_730;clear primary water
train_dehazed_731;clear primary
train_dehazed_732;clear primary
train_dehazed_733;agriculture clear primary road
train_dehazed_734;clear primary
train_dehazed_735;clear primary water
train_dehazed_736;agriculture clear cultivation habitation primary road
train_dehazed_737;clear primary
train_dehazed_738;agriculture clear cultivation primary
train_dehazed_739;agriculture clear habitation primary
train_dehazed_740;haze primary water
train_dehazed_741;clear primary
train_dehazed_742;clear primary water
train_dehazed_743;cloudy
train_dehazed_744;agriculture clear habitation primary road
train_dehazed_745;partly_cloudy primary
train_dehazed_746;clear primary road selective_logging
train_dehazed_747;clear primary
train_dehazed_748;clear primary
train_dehazed_749;agriculture clear primary road
train_dehazed_750;agriculture clear primary water
train_dehazed_751;agriculture clear primary road
train_dehazed_752;partly_cloudy primary
train_dehazed_753;agriculture partly_cloudy primary
train_dehazed_754;clear primary
train_dehazed_755;clear primary water
train_dehazed_756;agriculture cultivation habitation partly_cloudy primary road
train_dehazed_757;partly_cloudy primary
train_dehazed_758;cloudy
train_dehazed_759;partly_cloudy primary
train_dehazed_760;clear primary
train_dehazed_761;clear primary
train_dehazed_762;agriculture clear habitation primary road
train_dehazed_763;agriculture clear primary water
train_dehazed_764;clear primary road
train_dehazed_765;habitation partly_cloudy road
train_dehazed_766;agriculture partly_cloudy primary road
train_dehazed_767;agriculture clear primary road
train_dehazed_768;clear primary
train_dehazed_769;agriculture habitation partly_cloudy primary
train_dehazed_770;agriculture clear cultivation habitation primary road
train_dehazed_771;clear primary water
train_dehazed_772;clear primary
train_dehazed_773;clear primary
train_dehazed_774;partly_cloudy primary
train_dehazed_775;haze primary
train_dehazed_776;clear primary
train_dehazed_777;clear primary
train_dehazed_778;clear primary water
train_dehazed_779;clear primary
train_dehazed_780;agriculture clear cultivation primary
train_dehazed_781;partly_cloudy primary water
train_dehazed_782;cloudy
train_dehazed_783;clear primary water
train_dehazed_784;clear primary
train_dehazed_785;agriculture cultivation partly_cloudy primary
train_dehazed_786;agriculture clear cultivation primary
train_dehazed_787;clear primary water
train_dehazed_788;clear primary
train_dehazed_789;clear primary
train_dehazed_790;cloudy
train_dehazed_791;clear primary
train_dehazed_792;clear primary
train_dehazed_793;agriculture clear primary road
train_dehazed_794;habitation partly_cloudy primary road
train_dehazed_795;bare_ground clear primary road
train_dehazed_796;partly_cloudy primary
train_dehazed_797;partly_cloudy primary
train_dehazed_798;partly_cloudy primary
train_dehazed_799;cloudy
train_dehazed_800;agriculture haze primary
train_dehazed_801;clear primary
